Year,Anomaly
1927-03,-0.33
1927-04,-0.26
1927-05,-0.2
1927-06,-0.19
1927-07,-0.16
1927-08,-0.14
1927-09,-0.08
1927-10,-0.02
1927-11,-0.05
1927-12,-0.25
1928-01,-0.05
1928-02,-0.1
1928-03,-0.23
1928-04,-0.24
1928-05,-0.17
1928-06,-0.28
1928-07,-0.16
1928-08,-0.19
1928-09,-0.15
1928-10,-0.18
1928-11,-0.11
1928-12,-0.14
1929-01,-0.42
1929-02,-0.49
1929-03,-0.31
1929-04,-0.36
1929-05,-0.31
1929-06,-0.34
1929-07,-0.29
1929-08,-0.23
1929-09,-0.22
1929-10,-0.14
1929-11,-0.12
1929-12,-0.45
1930-01,-0.29
1930-02,-0.26
1930-03,-0.08
1930-04,-0.18
1930-05,-0.16
1930-06,-0.12
1930-07,-0.12
1930-08,-0.1
1930-09,-0.1
1930-10,-0.04
1930-11,0.14
1930-12,-0.02
1931-01,-0.07
1931-02,-0.17
1931-03,-0.06
1931-04,-0.15
1931-05,-0.13
1931-06,-0.01
1931-07,0
1931-08,-0.01
1931-09,0
1931-10,0.02
1931-11,-0.09
1931-12,-0.05
1932-01,0.1
1932-02,-0.13
1932-03,-0.14
1932-04,-0.04
1932-05,-0.14
1932-06,-0.17
1932-07,-0.15
1932-08,-0.15
1932-09,-0.1
1932-10,-0.1
1932-11,-0.23
1932-12,-0.23
1933-01,-0.26
1933-02,-0.31
1933-03,-0.26
1933-04,-0.21
1933-05,-0.25
1933-06,-0.28
1933-07,-0.21
1933-08,-0.19
1933-09,-0.26
1933-10,-0.19
1933-11,-0.27
1933-12,-0.34
1934-01,-0.25
1934-02,-0.03
1934-03,-0.3
1934-04,-0.28
1934-05,-0.07
1934-06,-0.08
1934-07,-0.09
1934-08,-0.09
1934-09,-0.11
1934-10,-0.02
1934-11,0.08
1934-12,-0.01
1935-01,-0.3
1935-02,0.11
1935-03,-0.13
1935-04,-0.3
1935-05,-0.24
1935-06,-0.2
1935-07,-0.15
1935-08,-0.14
1935-09,-0.13
1935-10,-0.03
1935-11,-0.22
1935-12,-0.11
1936-01,-0.3
1936-02,-0.35
1936-03,-0.2
1936-04,-0.13
1936-05,-0.08
1936-06,-0.1
1936-07,-0.05
1936-08,-0.07
1936-09,-0.08
1936-10,-0.05
1936-11,0.01
1936-12,0
1937-01,-0.09
1937-02,0.01
1937-03,-0.18
1937-04,-0.11
1937-05,-0.02
1937-06,0.03
1937-07,0.02
1937-08,0.06
1937-09,0.15
1937-10,0.11
1937-11,0.13
1937-12,0.03
1938-01,0.07
1938-02,0.03
1938-03,0.05
1938-04,0.07
1938-05,-0.03
1938-06,-0.09
1938-07,-0.06
1938-08,-0.03
1938-09,0.06
1938-10,0.12
1938-11,0.08
1938-12,-0.07
1939-01,-0.09
1939-02,-0.1
1939-03,-0.15
1939-04,-0.03
1939-05,-0.01
1939-06,-0.01
1939-07,-0.02
1939-08,0.02
1939-09,-0.01
1939-10,-0.01
1939-11,0.07
1939-12,0.47
1940-01,0.08
1940-02,0.08
1940-03,0.14
1940-04,0.21
1940-05,0.16
1940-06,0.12
1940-07,0.15
1940-08,0.11
1940-09,0.18
1940-10,0.15
1940-11,0.17
1940-12,0.33
1941-01,0.22
1941-02,0.33
1941-03,0.11
1941-04,0.23
1941-05,0.21
1941-06,0.16
1941-07,0.22
1941-08,0.21
1941-09,0.09
1941-10,0.36
1941-11,0.27
1941-12,0.25
1942-01,0.31
1942-02,0.06
1942-03,0.08
1942-04,0.14
1942-05,0.15
1942-06,0.1
1942-07,0
1942-08,-0.01
1942-09,0
1942-10,0.04
1942-11,0.08
1942-12,0.12
1943-01,-0.03
1943-02,0.12
1943-03,-0.02
1943-04,0.13
1943-05,0.13
1943-06,-0.02
1943-07,0.06
1943-08,0.02
1943-09,0.08
1943-10,0.25
1943-11,0.23
1943-12,0.24
1944-01,0.31
1944-02,0.25
1944-03,0.3
1944-04,0.21
1944-05,0.23
1944-06,0.24
1944-07,0.2
1944-08,0.18
1944-09,0.32
1944-10,0.29
1944-11,0.13
1944-12,0.16
1945-01,0.18
1945-02,0.06
1945-03,0.09
1945-04,0.25
1945-05,0.12
1945-06,0.11
1945-07,0.11
1945-08,0.29
1945-09,0.22
1945-10,0.18
1945-11,0.1
1945-12,-0.03
1946-01,0.17
1946-02,0.01
1946-03,0.02
1946-04,0.07
1946-05,-0.02
1946-06,-0.17
1946-07,-0.11
1946-08,-0.12
1946-09,-0.06
1946-10,-0.03
1946-11,-0.02
1946-12,-0.21
1947-01,-0.03
1947-02,-0.04
1947-03,0.05
1947-04,0.06
1947-05,0.03
1947-06,0.04
1947-07,-0.01
1947-08,-0.09
1947-09,-0.11
1947-10,0.06
1947-11,0
1947-12,-0.05
1948-01,0.02
1948-02,-0.08
1948-03,-0.21
1948-04,-0.04
1948-05,0.05
1948-06,-0.02
1948-07,-0.04
1948-08,-0.05
1948-09,-0.1
1948-10,-0.05
1948-11,-0.07
1948-12,-0.19
1949-01,0.06
1949-02,-0.15
1949-03,0.04
1949-04,-0.05
1949-05,-0.04
1949-06,-0.16
1949-07,-0.09
1949-08,-0.05
1949-09,-0.1
1949-10,-0.04
1949-11,-0.03
1949-12,-0.1
1950-01,-0.2
1950-02,-0.26
1950-03,-0.08
1950-04,-0.16
1950-05,-0.02
1950-06,-0.02
1950-07,-0.09
1950-08,-0.09
1950-09,-0.06
1950-10,-0.15
1950-11,-0.26
1950-12,-0.12
1951-01,-0.31
1951-02,-0.37
1951-03,-0.16
1951-04,-0.09
1951-05,0.05
1951-06,0.04
1951-07,0.1
1951-08,0.11
1951-09,0.17
1951-10,0.13
1951-11,0.03
1951-12,0.21
1952-01,0.14
1952-02,0.11
1952-03,-0.03
1952-04,0.07
1952-05,0.08
1952-06,0.05
1952-07,0.07
1952-08,0.06
1952-09,0.09
1952-10,0.01
1952-11,-0.08
1952-12,0.05
1953-01,0.07
1953-02,0.15
1953-03,0.14
1953-04,0.26
1953-05,0.2
1953-06,0.21
1953-07,0.09
1953-08,0.1
1953-09,0.07
1953-10,0.13
1953-11,0.04
1953-12,0.07
1954-01,-0.2
1954-02,-0.06
